ATR_Mult,Score_Thresh,TP_Mult,Return,Win_Rate,Sharpe,Trades
2.0,60,5.0,10.39,57.14,0.45,63
2.5,80,3.0,8.93,57.38,0.39,61
2.5,75,3.0,8.93,57.38,0.39,61
2.5,60,3.0,9.31,57.14,0.39,70
2.5,65,3.0,8.86,56.45,0.38,62
2.5,70,3.0,8.86,56.45,0.38,62
2.0,60,4.0,8.83,54.05,0.37,74
2.5,70,5.0,5.94,61.9,0.35,42
2.5,75,5.0,6.02,63.41,0.35,41
2.5,65,5.0,5.94,61.9,0.35,42
2.5,80,5.0,6.02,63.41,0.35,41
2.0,60,3.0,7.8,50.6,0.34,83
2.5,60,5.0,6.63,63.83,0.33,47
2.5,60,4.0,6.55,58.33,0.31,60
2.5,70,4.0,5.72,61.22,0.31,49
2.5,75,4.0,5.8,62.5,0.31,48
2.5,80,4.0,5.8,62.5,0.31,48
2.5,65,4.0,5.72,61.22,0.31,49
2.0,80,5.0,5.74,57.14,0.3,49
2.0,65,5.0,5.68,56.0,0.3,50
2.0,75,5.0,5.74,57.14,0.3,49
2.0,70,5.0,5.68,56.0,0.3,50
1.5,70,5.0,5.79,55.88,0.29,68
1.5,80,5.0,5.82,56.72,0.29,67
1.5,65,5.0,5.79,55.88,0.29,68
1.5,75,5.0,5.82,56.72,0.29,67
1.5,75,4.0,5.56,54.93,0.28,71
1.5,65,4.0,5.53,54.17,0.28,72
2.0,70,3.0,5.39,52.94,0.28,68
1.5,80,4.0,5.56,54.93,0.28,71
2.0,65,3.0,5.39,52.94,0.28,68
1.5,70,4.0,5.53,54.17,0.28,72
2.0,75,3.0,5.45,53.73,0.28,67
2.0,80,3.0,5.45,53.73,0.28,67
1.5,70,3.0,5.41,51.9,0.27,79
1.5,65,3.0,5.41,51.9,0.27,79
1.5,75,3.0,5.44,52.56,0.27,78
1.5,80,3.0,5.44,52.56,0.27,78
3.0,80,3.0,4.31,65.38,0.25,52
3.0,60,3.0,4.3,60.66,0.25,61
3.0,75,3.0,4.31,65.38,0.25,52
3.0,65,3.0,4.22,64.15,0.25,53
3.0,70,3.0,4.22,64.15,0.25,53
2.0,70,4.0,4.16,57.14,0.24,56
2.0,65,4.0,4.16,57.14,0.24,56
2.0,80,4.0,4.21,58.18,0.24,55
2.0,75,4.0,4.21,58.18,0.24,55
3.0,60,4.0,3.67,66.0,0.23,50
3.0,80,5.0,3.02,66.67,0.22,36
3.0,70,5.0,2.93,64.86,0.22,37
1.5,60,4.0,2.42,52.94,0.22,34
3.0,65,5.0,2.93,64.86,0.22,37
3.0,75,5.0,3.02,66.67,0.22,36
1.5,60,3.0,2.27,51.35,0.21,37
3.0,60,5.0,2.92,61.9,0.21,42
3.0,65,4.0,2.71,64.44,0.2,45
3.0,75,4.0,2.8,65.91,0.2,44
3.0,70,4.0,2.71,64.44,0.2,45
3.0,80,4.0,2.8,65.91,0.2,44
1.5,60,5.0,0.68,48.48,0.14,33
